id,name,cal,fat,carbo,protein,cal2,protein2,fat2,basket
0,고기듬뿍 불고기 백반,586kcal,18.00g,77.00g,29.00g,586 ,586 ,586 ,
1,참치마요 삼각김밥,219kcal,7.00g,31.00g,8.00g,219 ,219 ,219 ,1
2,동의 훈제란,55kcal,3.30g,0.40g,6.00g,55 ,55 ,55 ,
3,삼겹살구이정식,762kcal,30.00g,96.00g,27.00g,762 ,762 ,762 ,1
4,숯향가득 삼겹살구이,295kcal,16.00g,9.00g,28.00g,295 ,295 ,295 ,
5,소고기 고추장 삼각김밥,184kcal,1.60g,37.00g,6.00g,184 ,184 ,184 ,
6,참치가득 유부초밥,488kcal,16.00g,69.00g,17.00g,488 ,488 ,488 ,1
7,호유란,59kcal,3.50g,0.78g,6.00g,59 ,59 ,59 ,1
8,스팸김치볶음밥 삼각김밥,180kcal,4.40g,30.00g,5.00g,180 ,180 ,180 ,
9,8찬 정식,756kcal,24.00g,103.00g,32.00g,756 ,756 ,756 ,
10,틈새 오모리 김치찌개 라면,490kcal,20.00g,69.00g,9.00g,490 ,490 ,490 ,
11,닭가슴살소세지,110kcal,3.50g,7.00g,15.00g,110 ,110 ,110 ,
12,오모리 김치찌개라면,485kcal,20.00g,67.00g,9.00g,485 ,485 ,485 ,
13,Belt 샌드위치,357kcal,21.00g,32.00g,10.00g,357 ,357 ,357 ,1
14,삼겹구이 도시락,725kcal,19.00g,111.00g,28.00g,725 ,725 ,725 ,
15,생선구이 도시락,545kcal,18.00g,70.00g,25.00g,545 ,545 ,545 ,
16,묵은지참치김밥,440kcal,12.00g,69.00g,14.00g,440 ,440 ,440 ,
17,차슈덮밥,587kcal,20.00g,69.00g,32.00g,587 ,587 ,587 ,
18,제육쌈밥 김밥,313kcal,9.00g,51.00g,7.00g,313 ,313 ,313 ,
19,직화로 구운 불막창,217kcal,12.79g,15.88g,9.58g,217 ,217 ,217 ,
20,백종원 매콤 돈까스정식,1130kcal,54.00g,135.00g,26.00g,1130 ,1130 ,1130 ,
21,파워에이드 프로틴,48kcal,0.00g,2.00g,10.00g,48 ,48 ,48 ,1
22,전주비빔 삼각김밥,193kcal,5.00g,33.00g,4.00g,193 ,193 ,193 ,1
23,든든하지롱 계란김밥,483kcal,15.00g,73.00g,14.00g,483 ,483 ,483 ,
24,믹스커피,60kcal,0.90g,13.00g,0.00g,60 ,60 ,60 ,
25,연세우유 우유생크림빵,402kcal,26.00g,36.00g,6.00g,402 ,402 ,402 ,
26,어묵반반 김밥,391kcal,7.00g,71.00g,11.00g,391 ,391 ,391 ,
27,소불고기덮밥,415kcal,3.00g,85.00g,12.00g,415 ,415 ,415 ,
28,백종원의 열탄불고기,179kcal,3.00g,31.00g,7.00g,179 ,179 ,179 ,
29,땡초김밥,350kcal,10.00g,53.00g,12.00g,350 ,350 ,350 ,
30,아메리카노 블랙,10kcal,0.00g,2.00g,1.00g,10 ,10 ,10 ,1
31,계란국,45kcal,2.00g,5.00g,2.00g,45 ,45 ,45 ,
32,미미네 국물떡볶이,545kcal,8.50g,99.00g,16.00g,545 ,545 ,545 ,
33,언양식불고기,331kcal,5.00g,56.00g,15.00g,331 ,331 ,331 ,
34,아삭햄치즈샌드위치,354kcal,18.00g,35.00g,13.00g,354 ,354 ,354 ,
35,참치마요,229kcal,9.00g,30.00g,7.00g,229 ,229 ,229 ,
36,아이돌 인기 샌드위치,545kcal,27.00g,65.00g,11.00g,545 ,545 ,545 ,
37,제육쌈밥김밥,313kcal,9.00g,51.00g,7.00g,313 ,313 ,313 ,
38,부드러운 순살 족발,460kcal,20.00g,2.00g,68.00g,460 ,460 ,460 ,
39,대만식 고기덮밥,533kcal,16.00g,76.00g,22.00g,533 ,533 ,533 ,
40,우삼겹 덮밥,728kcal,28.00g,94.00g,25.00g,728 ,728 ,728 ,
41,프리미엄 에그 샌드위치,482kcal,30.00g,36.00g,17.00g,482 ,482 ,482 ,
42,카라멜맛 팝콘,144kcal,6.00g,22.00g,2.00g,144 ,144 ,144 ,
43,통참치 김밥,435kcal,11.00g,62.00g,22.00g,435 ,435 ,435 ,
44,제주 흑돼지 두루치기 정식,804kcal,24.00g,119.00g,28.00g,804 ,804 ,804 ,1
45,제육볶음 삼각김밥,163kcal,1.60g,23.00g,14.00g,163 ,163 ,163 ,1
46,바나나케이크,334kcal,14.00g,47.00g,5.00g,334 ,334 ,334 ,1
47,왕소라형 과자,130kcal,3.50g,22.00g,2.00g,130 ,130 ,130 ,1
48,동의 반숙란,64kcal,3.60g,1.00g,7.00g,64 ,64 ,64 ,1
49,안동식 찜닭 정식,871kcal,19.00g,127.00g,48.00g,871 ,871 ,871 ,1
50,매콤어묵김밥,292kcal,8.00g,49.00g,6.00g,292 ,292 ,292 ,1
51,틈새라면,465kcal,15.00g,73.00g,9.00g,465 ,465 ,465 ,1
52,버터커피,185kcal,19.00g,1.80g,2.00g,185 ,185 ,185 ,1
53,누룽지 반계탕,580kcal,13.00g,66.00g,50.00g,580 ,580 ,580 ,
54,크랩샐러드 김밥,327kcal,5.00g,63.00g,8.00g,327 ,327 ,327 ,
55,푸딩처럼 부드러운 계란찜,55kcal,2.90g,2.00g,5.00g,55 ,55 ,55 ,
56,닭가슴살 소시지,130kcal,7.00g,2.00g,15.00g,130 ,130 ,130 ,
57,치즈함박스테이크,723kcal,31.00g,77.00g,35.00g,723 ,723 ,723 ,
58,감동란,63kcal,3.60g,2.00g,6.00g,63 ,63 ,63 ,
59,숯불에 구운 닭갈비,282kcal,10.00g,13.00g,35.00g,282 ,282 ,282 ,
60,불고기덮밥,490kcal,10.00g,77.00g,23.00g,490 ,490 ,490 ,
61,1등급계란으로 만든 구운란,45kcal,2.40g,1.00g,5.00g,45 ,45 ,45 ,
62,통밀햄샌드위치,329kcal,13.00g,33.00g,20.00g,329 ,329 ,329 ,
63,머루포도,59kcal,0.30g,14.90g,0.80g,59 ,59 ,59 ,1
64,통밀 베이컨 샌드위치,335kcal,11.00g,38.00g,21.00g,335 ,335 ,335 ,1
65,시원한 바지락 칼국수,275kcal,1.50g,55.00g,11.00g,275 ,275 ,275 ,1
66,김치제육,699kcal,15.00g,113.00g,28.00g,699 ,699 ,699 ,1
67,돼지고기덮밥,598kcal,10.00g,100.00g,27.00g,598 ,598 ,598 ,1
68,훈제대란,70kcal,4.70g,0.00g,7.00g,70 ,70 ,70 ,1
69,버터바,85kcal,3.00g,12.00g,2.00g,85 ,85 ,85 ,1
70,케이준 치킨텐더 샌드위치,462kcal,26.00g,42.00g,15.00g,462 ,462 ,462 ,1
71,정통왕김밥,417kcal,13.00g,63.00g,12.00g,417 ,417 ,417 ,1
72,마제소바,460kcal,9.00g,82.00g,14.00g,460 ,460 ,460 ,1
73,훈제대란,60kcal,4.20g,0.00g,6.00g,60 ,60 ,60 ,1
74,봄나물비빔밥,494kcal,8.00g,90.00g,16.00g,494 ,494 ,494 ,1
75,소고기고추장김밥,333kcal,9.00g,52.00g,11.00g,333 ,333 ,333 ,1
76,잘 차린 정찬한판,794kcal,34.00g,95.00g,27.00g,794 ,794 ,794 ,1
77,을지로라면볶음밥(짜장맛),550kcal,18.00g,85.00g,12.00g,550 ,550 ,550 ,1
78,훈제 닭가슴살 샐러드,125kcal,2.14g,13.62g,12.53g,125 ,125 ,125 ,1
79,도토리묵사발,181kcal,4.50g,33.00g,2.00g,181 ,181 ,181 ,
80,쫀득한 마카롱,298kcal,16.00g,45.00g,3.00g,298 ,298 ,298 ,
81,불타는 어묵김밥,333kcal,5.00g,60.00g,12.00g,333 ,333 ,333 ,
82,계란 샌드위치,441kcal,29.00g,34.00g,11.00g,441 ,441 ,441 ,
83,백종원 돼지고기 덮밥,598kcal,10.00g,100.00g,27.00g,598 ,598 ,598 ,
84,참치마요,189kcal,4.10g,34.00g,4.00g,189 ,189 ,189 ,
